run_id,model,parameter_count,seed,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,validation_loss,greedy_exact_match,final_train_loss,final_answer_token_accuracy,compilation_seconds,steady_state_training_seconds,total_training_seconds,backend,jax_version,git_commit
dense_2p16m_s0075_seed2026,dense_2p16m,2164608,2026,75,153600,2304000,614400,0.768,29923540992000,1.6877235174179077,0.00145,1.5075995922088623,0.427490234375,8.572746174000258,10.834643170997424,32.89507242899981,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0100_seed42,dense_2p16m,2164608,42,100,204800,3072000,819200,1.024,39898054656000,0.5497511982917785,0.41325,0.5019195079803467,0.829833984375,7.833010901999842,14.574447957999382,37.17363833699983,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0100_seed123,dense_2p16m,2164608,123,100,204800,3072000,819200,1.024,39898054656000,0.6188518643379212,0.3179,0.5475642681121826,0.817626953125,8.271185539999806,13.241292059999978,35.707444041000144,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0100_seed2026,dense_2p16m,2164608,2026,100,204800,3072000,819200,1.024,39898054656000,0.9949999332427979,0.06255,0.9418792128562927,0.6881103515625,8.8587065050001,14.349769898001341,37.49420665700018,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0125_seed42,dense_2p16m,2164608,42,125,256000,3840000,1024000,1.28,49872568320000,0.2874514698982239,0.76805,0.2588767409324646,0.947998046875,7.53334910600006,18.143056471000364,40.84297708400027,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0125_seed123,dense_2p16m,2164608,123,125,256000,3840000,1024000,1.28,49872568320000,0.3298462092876434,0.72065,0.292019248008728,0.9466552734375,8.052050030999908,16.47355215100015,39.420080093999786,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0125_seed2026,dense_2p16m,2164608,2026,125,256000,3840000,1024000,1.28,49872568320000,0.8040526270866394,0.09335,0.7792943716049194,0.7586669921875,8.643021719999979,18.30968458299958,42.17390309499979,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0175_seed42,dense_2p16m,2164608,42,175,358400,5376000,1433600,1.792,69821595648000,0.04110428243875504,0.9985,0.03693738579750061,0.9998779296875,8.563125109000339,25.39770817799763,49.62118005299999,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0175_seed123,dense_2p16m,2164608,123,175,358400,5376000,1433600,1.792,69821595648000,0.08232796490192414,0.9495,0.06987374275922775,0.9915771484375,7.299108684000203,23.586881096997786,46.814931975000036,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0175_seed2026,dense_2p16m,2164608,2026,175,358400,5376000,1433600,1.792,69821595648000,0.03358155712485313,1.0,0.03068559244275093,1.0,7.355218139000044,25.382405855002617,48.38842167299981,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0250_seed42,dense_2p16m,2164608,42,250,512000,7680000,2048000,2.56,99745136640000,0.0065929671749472615,1.0,0.006119732744991779,1.0,8.928861909000261,35.59647230299606,60.88876894799978,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0250_seed123,dense_2p16m,2164608,123,250,512000,7680000,2048000,2.56,99745136640000,0.008453278057277202,0.99955,0.007719393353909254,1.0,7.372905526000068,35.06939100499994,58.72443605599983,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0250_seed2026,dense_2p16m,2164608,2026,250,512000,7680000,2048000,2.56,99745136640000,0.008210000582039356,1.0,0.007539223413914442,1.0,7.338386703000197,35.64538409900524,59.40347651299999,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0400_seed42,dense_2p16m,2164608,42,400,819200,12288000,3276800,4.096,159592218624000,0.00198413273319602,1.0,0.0018516952404752374,1.0,8.408564069000022,55.14239183399559,82.13929400699999,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0400_seed123,dense_2p16m,2164608,123,400,819200,12288000,3276800,4.096,159592218624000,0.002560042403638363,1.0,0.0023846901021897793,1.0,8.200660922000225,55.52504041099746,81.80752867000001,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0400_seed2026,dense_2p16m,2164608,2026,400,819200,12288000,3276800,4.096,159592218624000,0.0019912075717002154,1.0,0.0018478231504559517,1.0,7.711648843000148,56.408738963999895,82.03569961800076,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0750_seed42,dense_2p16m,2164608,42,750,1536000,23040000,6144000,7.68,299235409920000,0.0004959123092703521,1.0,0.000458638125564903,1.0,8.359558189000381,100.04372883499718,131.90276170700008,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0750_seed123,dense_2p16m,2164608,123,750,1536000,23040000,6144000,7.68,299235409920000,0.00035165211884304883,1.0,0.00032801099587231874,1.0,7.462208886000099,100.40026741800193,131.58694464300015,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0750_seed2026,dense_2p16m,2164608,2026,750,1536000,23040000,6144000,7.68,299235409920000,0.0002948210632894188,1.0,0.0002744914381764829,1.0,7.83030753499952,101.10395081201113,132.07564068800002,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0050_seed42,dense_5p12m,5123584,42,50,102400,1536000,409600,0.512,47218950144000,1.7130492210388184,0.00115,1.544676661491394,0.4149169921875,10.15696800600017,13.490944737000063,41.659974211999725,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0050_seed123,dense_5p12m,5123584,123,50,102400,1536000,409600,0.512,47218950144000,1.707922673225403,0.0021,1.5444376468658447,0.41796875,9.0728316299992,13.385763012996904,40.866852291000214,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_5p12m_s0050_seed2026,dense_5p12m,5123584,2026,50,102400,1536000,409600,0.512,47218950144000,1.7125831604003907,0.00225,1.5388199090957642,0.423828125,10.530326095999953,13.636687532998621,44.35610130399982,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
